CALLS,,,,,,,,,,,,PUTS,,,,,,,,,,
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"339,000","-108,000",179,157.38,0.05,-0.05,-,-,0.05,"7,500",400,"16,500",127,133.1,"15,000",-,115.05,-,-,-,"27,000",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"6,000",-,-,-,0.15,-,-,-,0.6,"6,000",410,"15,000",136.6,143.05,"3,000",-7.5,137.5,-,1,-,"1,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"16,500",-,-,-,0.1,-,-,-,0.05,"3,000",420,"18,000",145.55,153.1,"15,000",-,135,-,-,-,"6,000",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"9,000",-,-,-,7.2,-,-,-,-,-,430,"15,000",156.95,163.1,"15,000",-,156,-,-,-,"1,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"4,500",-,-,-,2,-,-,-,0.8,"6,000",440,"16,500",167.1,173.1,"3,000",14,167,-,1,"-1,500","13,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"66,000","-6,000",4,-,0.05,-,-,-,0.1,"1,500",450,"15,000",176.35,183.15,"15,000",-,165.05,-,-,-,"10,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,-,-,-,-,-,-,-,-,3,"1,500",460,"18,000",185.4,193.1,"15,000",-,-,-,-,-,-,https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,-,-,-,-,-,-,-,-,3,"1,500",470,"15,000",196.9,203.25,"15,000",-,90,-,-,-,"6,000",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,"1,500",-,-,-,0.45,-,"1,500",0.05,0.45,"3,000",480,"15,000",206.85,213.1,"15,000",-,192.5,-,-,-,"1,500",https://www1.nseindia.com/live_market/resources/images/grficon.gif
https://www1.nseindia.com/live_market/resources/images/grficon.gif,-,-,-,-,-,-,-,-,3,"1,500",490,"18,000",215.35,223.3,"15,000",-,-,-,-,-,-,https://www1.nseindia.com/live_market/resources/images/grficon.gif
